Duty cycle (%)	DMM VHigh (mV)	DMM IHigh (mA)	DMM VLow (mV)	DMM ILow (mA)	DMM POWER High (W)	DMM POWER Low (W)	DMM Efficiency (%)	TWIST Duty Cycle (%)	TWIST VHigh (mV)	TWIST VLow1 (mV)	TWIST VLow2 (mV)	TWIST IHigh (mA)	TWIST ILow1 (mA)	TWIST ILow2 (mA)	TWIST Power High (W)	TWIST Power Leg 1 (W)	TWIST Power Leg 2 (W)	TWIST Efficiency Leg 1 (%)	TWIST Efficiency Leg 2 (%)	Power High Absolute error (W)	Power Low1 Absolute error (W)	Power Low2 Absolute error (W)	Power High relative error (%)	Power Low1 relative error (%)	Power Low2 relative error (%)	Efficiency Absolute error leg 1 (%)	Efficiency Absolute error leg 2 (%)	Efficiency Relative error leg 1 (%)	Efficiency Relative error leg 2 (%)
35	48016	938	15723	2508	45.0	39.4	87.6	35.0	47336.0	14474.0	16604.0	808.0	2254.0	-9.0	38.2	32.6	-0.1	85.3	-0.3	6.8	6.8	39.5	15.0	17.0	100.0	-2.3	-87.9	-0.0	-1.0
35	48016	938	15723	2508	45.0	39.4	87.6	35.0	46863.0	14658.0	16742.0	818.0	2194.0	17.0	38.3	32.2	0.3	84.1	0.8	6.7	7.2	39.1	15.0	18.0	99.0	-3.5	-86.8	-0.0	-1.0
35	48016	938	15723	2508	45.0	39.4	87.6	35.0	47673.0	14566.0	16604.0	866.0	2286.0	-47.0	41.3	33.3	-0.8	80.6	-1.9	3.7	6.1	40.2	8.0	15.0	102.0	-7.0	-89.5	-0.1	-1.0
35	48016	938	15723	2508	45.0	39.4	87.6	35.0	47606.0	14382.0	16742.0	787.0	2276.0	-25.0	37.5	32.7	-0.4	87.2	-1.1	7.5	6.7	39.8	17.0	17.0	101.0	-0.4	-88.7	-0.0	-1.0
40	48012	1063	18108	2508	51.0	45.4	89.0	40.0	47201.0	16918.0	18909.0	861.0	2303.0	-57.0	40.6	39.0	-1.1	96.1	-2.7	10.4	6.4	46.5	20.0	14.0	102.0	7.1	-91.7	0.1	-1.0
40	48012	1063	18109	2508	51.0	45.4	89.0	40.0	47403.0	17103.0	19047.0	972.0	2199.0	-31.0	46.1	37.6	-0.6	81.6	-1.3	4.9	7.8	46.0	10.0	17.0	101.0	-7.4	-90.3	-0.1	-1.0
40	48012	1063	18109	2508	51.0	45.4	89.0	40.0	47133.0	17056.0	19185.0	892.0	2308.0	-4.0	42.0	39.4	-0.1	93.8	-0.2	9.0	6.0	45.5	18.0	13.0	100.0	4.8	-89.2	0.1	-1.0
40	48012	1063	18109	2508	51.0	45.4	89.0	40.0	47336.0	17149.0	19093.0	914.0	2265.0	-47.0	43.3	38.8	-0.9	89.6	-2.1	7.7	6.6	46.3	15.0	15.0	102.0	0.6	-91.1	0.0	-1.0
40	48012	1063	18109	2508	51.0	45.4	89.0	40.0	47403.0	16872.0	19093.0	956.0	2254.0	-4.0	45.3	38.0	-0.1	83.9	-0.2	5.7	7.4	45.5	11.0	16.0	100.0	-5.1	-89.2	-0.1	-1.0
45	48018	1188	20502	2508	57.0	51.4	90.2	45.0	47471.0	19409.0	21444.0	1104.0	2303.0	-78.0	52.4	44.7	-1.7	85.3	-3.2	4.6	6.7	53.1	8.0	13.0	103.0	-4.9	-93.4	-0.1	-1.0
45	48018	1188	20502	2508	57.0	51.4	90.2	45.0	47201.0	19455.0	21444.0	1099.0	2265.0	1.0	51.9	44.1	0.0	85.0	0.0	5.1	7.3	51.4	9.0	14.0	100.0	-5.2	-90.2	-0.1	-1.0
45	48018	1188	20503	2508	57.0	51.4	90.2	45.0	46863.0	19362.0	21490.0	972.0	2270.0	-47.0	45.6	44.0	-1.0	96.5	-2.2	11.4	7.4	52.4	20.0	14.0	102.0	6.3	-92.4	0.1	-1.0
45	48018	1188	20502	2508	57.0	51.4	90.2	45.0	47201.0	19086.0	21490.0	1041.0	2308.0	-25.0	49.1	44.1	-0.5	89.8	-1.0	7.9	7.3	51.9	14.0	14.0	101.0	-0.4	-91.2	-0.0	-1.0
45	48018	1188	20502	2508	57.0	51.4	90.2	45.0	47538.0	19316.0	21305.0	1014.0	2292.0	22.0	48.2	44.3	0.5	91.9	1.0	8.8	7.1	50.9	15.0	14.0	99.0	1.7	-89.2	0.0	-1.0
50	48015	1313	22895	2508	63.0	57.4	91.1	50.0	47336.0	21622.0	23748.0	1115.0	2330.0	-25.0	52.8	50.4	-0.6	95.5	-1.1	10.2	7.0	58.0	16.0	12.0	101.0	4.4	-92.2	0.0	-1.0
50	48015	1313	22894	2508	63.0	57.4	91.1	50.0	47403.0	21853.0	24025.0	1279.0	2221.0	38.0	60.6	48.5	0.9	80.0	1.5	2.4	8.9	56.5	4.0	16.0	98.0	-11.1	-89.6	-0.1	-1.0
50	48015	1313	22895	2508	63.0	57.4	91.1	50.0	47268.0	21714.0	23748.0	1189.0	2286.0	60.0	56.2	49.6	1.4	88.3	2.5	6.8	7.8	56.0	11.0	14.0	98.0	-2.8	-88.6	-0.0	-1.0
50	48015	1313	22894	2508	63.0	57.4	91.1	50.0	46998.0	21761.0	23656.0	1120.0	2265.0	33.0	52.6	49.3	0.8	93.7	1.5	10.4	8.1	56.6	17.0	14.0	99.0	2.6	-89.6	0.0	-1.0
50	48015	1313	22894	2508	63.0	57.4	91.1	50.0	47336.0	21714.0	23702.0	1046.0	2270.0	-41.0	49.5	49.3	-1.0	99.6	-2.0	13.5	8.1	58.4	21.0	14.0	102.0	8.5	-93.1	0.1	-1.0
55	48018	1437	25294	2508	69.0	63.4	91.9	55.00000000000001	47336.0	24205.0	26467.0	1384.0	2324.0	-20.0	65.5	56.3	-0.5	86.0	-0.8	3.5	7.1	63.9	5.0	11.0	101.0	-5.9	-92.7	-0.1	-1.0
55	48018	1437	25293	2508	69.0	63.4	91.9	55.00000000000001	47066.0	24113.0	26329.0	1353.0	2319.0	92.0	63.7	55.9	2.4	87.8	3.8	5.3	7.5	61.0	8.0	12.0	96.0	-4.1	-88.1	-0.0	-1.0
55	48018	1437	25293	2508	69.0	63.4	91.9	55.00000000000001	46998.0	24343.0	26375.0	1374.0	2270.0	-20.0	64.6	55.3	-0.5	85.6	-0.8	4.4	8.1	63.9	6.0	13.0	101.0	-6.3	-92.7	-0.1	-1.0
55	48017	1437	25294	2508	69.0	63.4	91.9	55.00000000000001	47268.0	24020.0	26375.0	1300.0	2248.0	33.0	61.4	54.0	0.9	87.9	1.5	7.6	9.4	62.5	11.0	15.0	99.0	-4.0	-90.4	-0.0	-1.0
55	48018	1437	25294	2508	69.0	63.4	91.9	55.00000000000001	47538.0	24159.0	26329.0	1273.0	2314.0	44.0	60.5	55.9	1.2	92.4	2.0	8.5	7.5	62.2	12.0	12.0	98.0	0.5	-89.9	0.0	-1.0
5	48016	235	1249	3511	11.3	4.4	38.9	5.0	47538.0	-284.0	2362.0	178.0	2140.0	-344.0	8.5	-0.6	-0.8	-7.1	-9.4	2.8	5.0	5.2	25.0	114.0	118.0	-46.0	-48.3	-1.2	-1.2
5	48015	235	1249	3511	11.3	4.4	38.9	5.0	47808.0	-99.0	2086.0	88.0	2134.0	-158.0	4.2	-0.2	-0.3	-4.8	-7.1	7.1	4.6	4.7	63.0	105.0	107.0	-43.7	-46.0	-1.1	-1.2
5	48015	235	1249	3511	11.3	4.4	38.9	5.0	47673.0	-238.0	2408.0	51.0	2276.0	-318.0	2.4	-0.5	-0.8	-20.8	-33.3	8.9	4.9	5.2	79.0	111.0	118.0	-59.7	-72.2	-1.5	-1.9
