DMM VHigh (mV)	TWIST Duty Cycle	TWIST VHigh (mV)	TWIST VLow1 (mV)	TWIST VLow2 (mV)	TWIST IHigh (mA)	TWIST ILow1 (mA)	TWIST ILow2 (mA)
83053	50.0	83328.0	-1391.0	-1094.0	-76.0	-234.0	54.0
83053	50.0	83125.0	-1345.0	-1463.0	-17.0	-218.0	-15.0
83053	50.0	83057.0	-1345.0	-1094.0	-7.0	-169.0	7.0
83053	50.0	82855.0	-1529.0	-1094.0	-113.0	-305.0	28.0
87048	50.0	87109.0	-1391.0	-1233.0	-7.0	-288.0	22.0
87048	50.0	86636.0	-1529.0	-1325.0	-91.0	-278.0	12.0
87048	50.0	87379.0	-1298.0	-1325.0	-134.0	-223.0	7.0
87048	50.0	87177.0	-1437.0	-1140.0	-28.0	-239.0	-4.0
87048	50.0	86974.0	-1483.0	-1233.0	-33.0	-229.0	-20.0
87048	50.0	86907.0	-1483.0	-1187.0	-102.0	-229.0	17.0
87048	50.0	86704.0	-1437.0	-1371.0	-139.0	-283.0	-31.0
87048	50.0	86839.0	-1391.0	-1233.0	-70.0	-185.0	38.0
87048	50.0	86974.0	-1391.0	-1325.0	14.0	-163.0	-4.0
87048	50.0	87042.0	-1391.0	-1371.0	-70.0	-234.0	-47.0
92024	50.0	91904.0	-1437.0	-1279.0	-33.0	-272.0	7.0
92024	50.0	92174.0	-1298.0	-1279.0	-70.0	-256.0	-78.0
92024	50.0	92241.0	-1529.0	-1233.0	-86.0	-229.0	-15.0
92024	50.0	91701.0	-1437.0	-1325.0	-107.0	-234.0	-15.0
92024	50.0	91904.0	-1575.0	-1233.0	-102.0	-272.0	17.0
92024	50.0	92241.0	-1298.0	-1094.0	-12.0	-196.0	-15.0
92024	50.0	91701.0	-1437.0	-1233.0	-54.0	-283.0	-41.0
92024	50.0	92039.0	-1252.0	-1279.0	-91.0	-185.0	-15.0
92024	50.0	92106.0	-1529.0	-1233.0	-70.0	-288.0	-41.0
92024	50.0	92039.0	-1391.0	-1233.0	-144.0	-250.0	-20.0
96034	50.0	95955.0	-1345.0	-1233.0	-49.0	-261.0	-15.0
96034	50.0	95685.0	-1483.0	-1233.0	-39.0	-174.0	7.0
96034	50.0	96158.0	-1529.0	-1002.0	-7.0	-191.0	-68.0
96033	50.0	95820.0	-1391.0	-1187.0	-70.0	-207.0	12.0
96033	50.0	95955.0	-1391.0	-1187.0	9.0	-201.0	-63.0
96033	50.0	95888.0	-1575.0	-1187.0	-39.0	-196.0	-15.0
96033	50.0	95482.0	-1252.0	-1187.0	-7.0	-250.0	70.0
96033	50.0	95685.0	-1483.0	-1187.0	-134.0	-212.0	-4.0
96033	50.0	96225.0	-1345.0	-1279.0	-91.0	-163.0	-9.0
96033	50.0	96023.0	-1575.0	-1417.0	-33.0	-229.0	-31.0
